codigo	grupo	subgrupo	nivel	subnivel
A0111	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos no perennes	Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas
A0112	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos no perennes	Cultivo de arroz
A0113	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos no perennes	Cultivo de hortalizas, raíces y tubérculos
A0114	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos no perennes	Cultivo de caña de azúcar
A0115	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos no perennes	Cultivo de tabaco
A0116	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos no perennes	Cultivo de plantas para fibras textiles
A0119	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos no perennes	Otros cultivos no perennes
A0121	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de la vid
A0122	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de frutos tropicales y subtropicales
A0123	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de cítricos
A0124	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de frutos con hueso y pepitas
A0125	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de otros árboles y arbustos frutales y frutos secos
A0126	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de frutos oleaginosos
A0127	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de plantas para bebidas
A0128	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas
A0129	Agricultura, ganadería, silvicultura y pesca	Agricultura, ganadería, caza y servicios relacionados con las mismas	Cultivos perennes	Otros cultivos perennes
